"Name","Wallet","Tier","Category","Profit"
"0xc2e7800b5af46e6093872b177b7a5e7f0563be51","0xc2e7800b5af46e6093872b177b7a5e7f0563be51","whale","sports","+667K"
"beachboy4","0xc2e7800b5af46e6093872b177b7a5e7f0563be51","whale","sports","+$667K"
"0xb7511d7b0dcb75ffad0507cbac7223653d08915","0xb7511d7b0dcb75ffad0507cbac7223653d08915","whale","sports","+$390K"
"darkrider11","","whale","sports","+$341K"
"0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563","0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563","whale","sports","+$326K"
"Pimping","","whale","sports","+$306K"
"BK9496","","whale","sports","+$302K"
"primm","","whale","sports","+$272K"
"Comeback12345","","whale","sports","+$259K"
"piastri","","whale","sports","+$242K"
"luckboxx","","whale","sports","+$231K"
"kch123","0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee","whale","sports","+$231K"
"0xabB89972B21B304C1bEd2Bf26F35c8741aC9bBA3","0xabB89972B21B304C1bEd2Bf26F35c8741aC9bBA3","whale","sports","+$204K"
"Lugh-do","","whale","sports","+$178K"
"RipVanWinkle","","whale","sports","+$138K"
"SeriouslySirius","0x16b29c50f2439faf627209b2ac0c7bbddaa8a881","whale","sports","+$131K"
"0xe74A4446EfD66A4de690962938F550D8921A40Ee","0xe74A4446EfD66A4de690962938F550D8921A40Ee","whale","sports","+$129K"
"jt7","","whale","sports","+$127K"
"SammySledge","","whale","sports","+$117K"
"Mayuravarma","","whale","sports","+$113K"
"0xF0bC46E69C9c68703FF0a2c0083E61d484E6Af98","0xF0bC46E69C9c68703FF0a2c0083E61d484E6Af98","whale","sports","+$111K"
"qwrasdz","","whale","sports","+$103K"
"sinncity","","whale","sports","+$103K"
"potko","","whale","sports","+$101K"
"gambas4","","shark","sports","+$95K"
"C.SIN","","shark","sports","+$93K"
"gmanas","0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2","shark","sports","+$85K"
"0x006cc834Cc092684F1B56626E23BEdB3835c16ea","0x006cc834Cc092684F1B56626E23BEdB3835c16ea","shark","sports","+$81K"
"Sharpyyy","","shark","sports","+$79K"
"DrPufferfish","","shark","sports","+$78K"
"MrSparklySimpsons","","shark","sports","+$77K"
"Watch-Gel-Pods","","shark","crypto","+$76K"
"benwyatt","","shark","sports","+$75K"
"statwC00KS","0x57a8d63731277200ed26cfde9a8a830d94f36933","shark","sports","+$66K"
"elkmonkey","0xead152b855effa6b5b5837f53b24c0756830c76a","shark","sports","+$65K"
"yeamanletsmakebread","","shark","sports","+$64K"
"0x8cbb318B8863898f0907deE7113453EB75FaACB2","0x8cbb318B8863898f0907deE7113453EB75FaACB2","shark","sports","+$63K"
"Samojako","","shark","sports","+$63K"
"knedloveprovelo","0xd6a3f0ec6c4a8ad680d580610c82ca57ff139489","shark","sports","+$63K"
"ghostt4","","shark","sports","+$63K"
"6kkandrew1","","shark","sports","+$62K"
"kinderSman","","shark","crypto","+$60K"
"JamaicanBobsledTeam","","shark","sports","+$55K"
"SemyonMarmeladov","","shark","sports","+$54K"
"l-3-x","","shark","crypto","+$54K"
"Ktulhuu","","shark","crypto","+$53K"
"jirobas","","shark","crypto","+$52K"
"teenag3er","","shark","crypto","+$52K"
"j3s0s","","shark","crypto","+$52K"
"p3rs0n","","shark","crypto","+$51K"
"pokushay","","shark","crypto","+$51K"
"jesis","","shark","crypto","+$51K"
"treki-narepit","","shark","crypto","+$51K"
"sukaebanayaaa","","shark","crypto","+$51K"
"le3s","","shark","crypto","+$51K"
"Cortisfans","","shark","sports","+$51K"
"Stefanlecca","","shark","politics","+$51K"
"kekusmaxi","","shark","crypto","+$51K"
"mops-dadya-pes","","shark","crypto","+$51K"
"0x062740fdec4d624eb01Df83E3b23D468c37fDADA","0x062740fdec4d624eb01Df83E3b23D468c37fDADA","shark","crypto","+$51K"
"profita-net","","shark","crypto","+$51K"
"crossfire154","","shark","sports","+$50K"
"Y0HIMBE","","shark","crypto","+$50K"
"Ktulhu","","shark","crypto","+$50K"
"fromagi","","shark","crypto","+$50K"
"rezolution","","shark","crypto","+$50K"
"hersonm","","shark","crypto","+$50K"
"0x8929a0cE1c13aE9C9643F94A3F7E67580Fad0196","0x8929a0cE1c13aE9C9643F94A3F7E67580Fad0196","shark","crypto","+$50K"
"mikinik","","shark","crypto","+$50K"
"sleepy-panda","0xa49becb692927d455924583b5e3e5788246f4c40","shark","sports","+$50K"
"suleym4n","","dolphin","crypto","+$50K"
"kiraaaz","","dolphin","crypto","+$50K"
"huy-s-gori","","dolphin","crypto","+$50K"
"1namillion","","dolphin","crypto","+$48K"
"gamblingdebt","0xc8b438e4a1c10643ea0ea3e59bcaadc73174f05d","dolphin","sports","+$47K"
"ckw","","dolphin","sports","+$45K"
"Macks22","","dolphin","sports","+$45K"
"ZerOptimist","","dolphin","sports","+$44K"
"ChangoChango","","dolphin","sports","+$44K"
"sovereign2013","0xee613b3fc183ee44f9da9c05f53e2da107e3debf","dolphin","sports","+$43K"
"TeamGG","","dolphin","sports","+$42K"
"ChinesePro","","dolphin","sports","+$42K"
"swisstony","0x204f72f35326db932158cba6adff0b9a1da95e14","dolphin","sports","+$41K"
